id_pvt_service,id_pvt_user,fullname_user,name_service,category,experience,type_service,type_cost,cost,type_money,business_days,open,close,country,country_name,state,state_name,city,city_name,description,image,status,date,date_update
SER8924443XTZXFNRVIC,US2782733EJTJHCQER,Nicole Montalvo Ospina,Administracion de Bienes Mater,Management,3,face to face,contract,5897,MXN,"L,D",12:00,19:00,142,NULL,NULL,NULL,NULL,NULL,Se administran los bienes familiares.,8.jpg,Active,2014-01-18 10:50:00,2014-01-18 10:50:00
SER2197132EMTOIEAVIC,US6899923JLEHDLUER,Carlos Hernandez Lima,Administracion de Negocios,Management,2,in situ,week,5902,MXN,"Ma,Mi",07:00,14:00,10,NULL,NULL,NULL,NULL,NULL,Se administran negocios pequenos y en vias de crecimiento,13.jpg,Active,2014-01-19 10:50:00,2014-01-19 10:50:00
SER5578027GSIYMKZVIC,US6022537DBAKHDPER,Manuel Juarez Bolanos,Administracion de Negocios,Management,1,from distance,week,5306,EUR,"L,Ma,Mi,J,V",08:00,15:00,10,NULL,NULL,NULL,NULL,NULL,Se administran negocios pequenos y en vias de crecimiento,7.jpg,Active,2014-01-20 10:50:00,2014-01-20 10:50:00
SER9588990KLBAGMSVIC,US6742985LKTOCSEER,Carla Jimenez Lucas,Administracion de Negocios,Management,1,in situ,equipment,9870,USD,"L,Ma,Mi,J,V,S",09:00,16:00,142,NULL,NULL,NULL,NULL,NULL,Se administran negocios pequenos y en vias de crecimiento,7.jpg,Active,2014-01-21 10:50:00,2014-01-21 10:50:00
SER9181286LURXDGYVIC,US9351956CKYOTDKER,Kate Duarte Sandoval,Arquitectos OLAB,Architecture,3,all,day,6840,EUR,"L,Ma,Mi,J,V,S,D",14:00,21:00,142,NULL,NULL,NULL,NULL,NULL,Planos para casas o empresas tanto exteriores como interiores,14.jpg,Active,2014-01-22 10:50:00,2014-01-22 10:50:00
SER9817373LXBCEDCVIC,US8296864AURXHUXER,Hector Salas Huerta,Arquitectos OLAB,Architecture,3,other,equipment,4453,EUR,"L,Ma,Mi,J,V,S,D",07:00,14:00,10,NULL,NULL,NULL,NULL,NULL,Planos para casas o empresas tanto exteriores como interiores,2.jpg,Active,2014-01-23 10:50:00,2014-01-23 10:50:00
SER1452988SCRCOAUVIC,US8917508NNBZYBZER,Diego Islas Lozada,Asesor Administrativo,Management,4,all,repair,4171,EUR,"L,Ma,Mi,J,V,S,D",10:00,17:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el ambito administrativo,4.jpg,Active,2014-01-24 10:50:00,2014-01-24 10:50:00
SER1471247NRUHEWCVIC,US3889620ADFRNMBER,Irma Duarte Beltran,Asesor Administrativo,Management,5,in situ,repair,4067,MXN,"L,Ma,Mi,J,V,S,D",11:00,18:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el ambito administrativo,15.jpg,Active,2014-01-25 10:50:00,2014-01-25 10:50:00
SER3352681FTYVFEXVIC,US2677824ALKYKUFER,Ana Montes Peralta,Asesor Administrativo,Management,3,in situ,fifteen days,6166,USD,"L,Ma,Mi,J,V,S,D",11:00,18:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en el ambito administrativo,18.jpg,Active,2014-01-26 10:50:00,2014-01-26 10:50:00
SER4838255KBWCJSFVIC,US4188228YFXKDSWER,Perla Peralta Duarte,Asesor Administrativo,Management,1,office,equipment,4033,EUR,"L,Ma,Mi,J,V,S,D",12:00,19:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el ambito administrativo,7.jpg,Active,2014-01-27 10:50:00,2014-01-27 10:50:00
SER6981891XAXFQPRVIC,US6085330VFRYFWWER,Rose Lucas Lozada,Asesor Administrativo,Management,1,other,contract,5530,EUR,"L,Ma,Mi,J,V,S,D",14:00,21:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en el ambito administrativo,4.jpg,Active,2014-01-28 10:50:00,2014-01-28 10:50:00
SER1437723SXIZHSIVIC,US2753050KHJMRTVER,Perla Montalvo Garza,Asesor de Arquitectura,Architecture,2,office,project,9568,EUR,"L,Ma,Mi,J,V,S,D",12:00,19:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el ambito de arquitectura,14.jpg,Active,2014-01-29 10:50:00,2014-01-29 10:50:00
SER1512867QCKJAYHVIC,US2496060NQADFGNER,Beatriz Rafael Benitez,Asesor de Arquitectura,Architecture,2,face to face,day,9215,USD,"L,Ma,Mi,J,V,S,D",11:00,18:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en el ambito de arquitectura,14.jpg,Active,2014-01-30 10:50:00,2014-01-30 10:50:00
SER4798243TAXEFCSVIC,US9654420YRDIFSTER,Cindy Bolanos Lozada,Asesor de Arquitectura,Architecture,4,office,project,8707,USD,"L,Ma,Mi,J,V,S,D",10:00,17:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el ambito de arquitectura,10.jpg,Active,2014-01-31 10:50:00,2014-01-31 10:50:00
SER7104785PULKBNYVIC,US7803727ZKXWUEEER,Virginia Ceballos Ledezma,Asesor de Arquitectura,Architecture,5,from distance,hour,7427,MXN,"L,Ma,Mi,J,V,S,D",16:00,23:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en el ambito de arquitectura,20.jpg,Active,2014-02-01 10:50:00,2014-02-01 10:50:00
SER7116904VTZERKJVIC,US3935880GCRLQDUER,America Puebla Duarte,Asesor de Arquitectura,Architecture,2,office,workingDay,4655,EUR,"L,Ma,Mi,J,V,S,D",07:00,14:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en el ambito de arquitectura,19.jpg,Active,2014-02-02 10:50:00,2014-02-02 10:50:00
SER7593909OSFBJOLVIC,US6165703HMVPDYWER,Paco Baron Larios,Asesor de Arquitectura,Architecture,5,in situ,project,3026,USD,"L,Ma,Mi,J,V,S,D",12:00,19:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el ambito de arquitectura,14.jpg,Active,2014-02-03 10:50:00,2014-02-03 10:50:00
SER8528474MCNCHILVIC,US7383658NFBJCWXER,Uriel Ramirez Castillo,Asesor de Arquitectura,Architecture,5,other,repair,890,EUR,"L,Ma,Mi,J,V,S,D",10:00,17:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el ambito de arquitectura,7.jpg,Active,2014-02-04 10:50:00,2014-02-04 10:50:00
SER1385535SSQUMXDVIC,US2351146MNABFVGER,Federico Ledezma Benitez,Asesor de Ingenieria,Engineering,5,other,repair,5456,EUR,"L,Ma,Mi,J,V,S,D",07:00,14:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en el desarrollo de prototipos de electronica,16.jpg,Active,2014-02-05 10:50:00,2014-02-05 10:50:00
SER2414146MBAPOWJVIC,US1711142UZNWDZUER,Juan Montalvo Molina,Asesor de Ingenieria,Engineering,4,office,contract,3400,USD,"L,Ma,Mi,J,V,S,D",13:00,20:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el desarrollo de prototipos de electronica,10.jpg,Active,2014-02-06 10:50:00,2014-02-06 10:50:00
SER3753627LVIEZGPVIC,US7302097HGKJHNNER,Tony Alvarez Otero,Asesor de Ingenieria,Engineering,1,face to face,day,5712,USD,"L,Ma,Mi,J,V",11:00,18:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en el desarrollo de prototipos de electronica,10.jpg,Active,2014-02-07 10:50:00,2014-02-07 10:50:00
SER4808435AIVBKLAVIC,US8319896GUREHJRER,Francisco Perez Bolanos,Asesor de Ingenieria,Engineering,1,face to face,workingDay,3509,EUR,"L,Ma,Mi,J,V",13:00,20:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el desarrollo de prototipos de electronica,7.jpg,Active,2014-02-08 10:50:00,2014-02-08 10:50:00
SER5655586UNOYIYEVIC,US6801773HTDRQZCER,Diego Larios Ledezma,Asesor de Ingenieria,Engineering,4,other,workingDay,9598,MXN,"L,Ma,Mi,J,V",13:00,20:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el desarrollo de prototipos de electronica,3.jpg,Active,2014-02-09 10:50:00,2014-02-09 10:50:00
SER5925158SEXPRYXVIC,US8001397XOBQHQLER,Lorenzo Sanchez Ortega,Asesor de Ingenieria,Engineering,5,face to face,repair,1916,EUR,"L,Ma,Mi,J,V",12:00,19:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en el desarrollo de prototipos de electronica,16.jpg,Active,2014-02-10 10:50:00,2014-02-10 10:50:00
SER6221724CHWJQZYVIC,US8084515CSYBMMWER,Emily Montalvo Perez,Asesor de Ingenieria,Engineering,1,face to face,workingDay,8356,USD,"L,Ma,Mi,J,V",07:00,14:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el desarrollo de prototipos de electronica,13.jpg,Active,2014-02-11 10:50:00,2014-02-11 10:50:00
SER7567902KYDIXKLVIC,US9868611WHQBYAQER,Wanda Prado Martinez,Asesor de Ingenieria,Engineering,4,other,contract,6392,USD,"L,Ma,Mi,J,V",14:00,21:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en el desarrollo de prototipos de electronica,4.jpg,Active,2014-02-12 10:50:00,2014-02-12 10:50:00
SER7668697OZOFXUAVIC,US5311287PAQDKFJER,Oscar Bolanos Alvarez,Asesor de Ingenieria,Engineering,5,in situ,project,7547,EUR,"L,Ma,Mi,J,V",15:00,22:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el desarrollo de prototipos de electronica,2.jpg,Active,2014-02-13 10:50:00,2014-02-13 10:50:00
SER7879161JMMQGWOVIC,US1464439NTDYGDXER,Hanna Oca Leon,Asesor de Ingenieria,Engineering,3,from distance,month,4209,MXN,"L,Ma,Mi,J,V",07:00,14:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el desarrollo de prototipos de electronica,18.jpg,Active,2014-02-14 10:50:00,2014-02-14 10:50:00
SER8805050NYTWOPCVIC,US8964302NQPPHRSER,Diego Briones Fernandez,Asesor de Ingenieria,Engineering,1,in situ,equipment,9425,MXN,"L,Ma,Mi,J,V",07:00,14:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en el desarrollo de prototipos de electronica,2.jpg,Active,2014-02-15 10:50:00,2014-02-15 10:50:00
SER9437459IXXEVOYVIC,US4292891LOKUYRNER,Victor Montalvo Tijeras,Asesor de Ingenieria,Engineering,2,office,equipment,6230,EUR,"L,Ma,Mi,J,V",13:00,20:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en el desarrollo de prototipos de electronica,16.jpg,Active,2014-02-16 10:50:00,2014-02-16 10:50:00
SER7532414ZKGWGBTVIC,US4870753FEYLFEBER,Ana Sandoval Juarez,Asesor de Leyes,Laws,2,other,month,5849,MXN,"L,Ma,Mi,J,V",07:00,14:00,10,NULL,NULL,NULL,NULL,NULL,Asesor para tesinas o proyectos,19.jpg,Active,2014-02-17 10:50:00,2014-02-17 10:50:00
SER8085884NKAEJDIVIC,US2128564BKLRDXQER,Victoria Juarez Larios,Asesor de Leyes,Laws,3,other,week,8923,USD,"L,Ma,Mi,J,V,S",11:00,18:00,10,NULL,NULL,NULL,NULL,NULL,Asesor para tesinas o proyectos,16.jpg,Active,2014-02-18 10:50:00,2014-02-18 10:50:00
SER8393853YLPLVZUVIC,US2463232AZIPFISER,Norma Leon Otero,Asesor de Leyes,Laws,2,office,fifteen days,9421,MXN,"L,Ma,Mi,J,V,S",13:00,20:00,10,NULL,NULL,NULL,NULL,NULL,Asesor para tesinas o proyectos,4.jpg,Active,2014-02-19 10:50:00,2014-02-19 10:50:00
SER2459725LFPXNDWVIC,US5413627CIIIBZZER,Martha Oca Alvarez,Asesor de Licenciatura,Education,1,all,fifteen days,2536,MXN,"L,Ma,Mi,J,V,S",15:00,22:00,142,NULL,NULL,NULL,NULL,NULL,para tesinas,9.jpg,Active,2014-02-20 10:50:00,2014-02-20 10:50:00
SER3644504LXLAPIWVIC,US9078919YPUUGVIER,Rosemarie Lucas Juarez,Asesor de Licenciatura,Education,5,other,project,5443,USD,"L,Ma,Mi,J,V,S",09:00,16:00,142,NULL,NULL,NULL,NULL,NULL,para tesinas,7.jpg,Active,2014-02-21 10:50:00,2014-02-21 10:50:00
SER2265345RFFNVECVIC,US6853292WOVYNGWER,Vince Castillo Hernandez,Asesor de Ventas,Sales,2,all,workingDay,2803,MXN,"L,Ma,Mi,J,V,S",16:00,23:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en la compra de inmuebles y cualquier bien,11.jpg,Active,2014-02-22 10:50:00,2014-02-22 10:50:00
SER2457346NIFSMOAVIC,US8141410SYWLPOEER,Patricia Ramirez Montalvo,Asesor de Ventas,Sales,4,office,week,3991,EUR,"L,Ma,Mi,J,V,S",08:00,15:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en la compra de inmuebles y cualquier bien,7.jpg,Active,2014-02-23 10:50:00,2014-02-23 10:50:00
SER2504964OTGQXJCVIC,US9451545QXFTMBHER,Hugo Martinez Sanchez,Asesor de Ventas,Sales,5,in situ,equipment,4440,EUR,"L,Ma,Mi,J,V,S",07:00,14:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en la compra de inmuebles y cualquier bien,6.jpg,Active,2014-02-24 10:50:00,2014-02-24 10:50:00
SER3497242SPCFJSIVIC,US7176171CLWJQNCER,Lisa Tijeras Ledezma,Asesor de Ventas,Sales,2,all,workingDay,2265,USD,"L,Ma,Mi,J,V,S",15:00,22:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en la compra de inmuebles y cualquier bien,11.jpg,Active,2014-02-25 10:50:00,2014-02-25 10:50:00
SER3733002WCQFFUPVIC,US3482349JOEGVKHER,Paula Baron Benitez,Asesor de Ventas,Sales,3,face to face,hour,815,USD,"L,Ma,Mi,J,V,S",09:00,16:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en la compra de inmuebles y cualquier bien,1.jpg,Active,2014-02-26 10:50:00,2014-02-26 10:50:00
SER6926416UHNVADCVIC,US3185083XPWAHLUER,Jose Montalvo Baron,Asesor de Ventas,Sales,4,from distance,workingDay,6330,USD,"L,Ma,Mi,J,V,S",15:00,22:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora en la compra de inmuebles y cualquier bien,10.jpg,Active,2014-02-27 10:50:00,2014-02-27 10:50:00
SER7496924SYCUVHTVIC,US1427589LQBALGDER,Kate Islas Benitez,Asesor de Ventas,Sales,3,face to face,fifteen days,5349,MXN,"L,Ma,Mi,J,V,S",10:00,17:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en la compra de inmuebles y cualquier bien,18.jpg,Active,2014-02-28 10:50:00,2014-02-28 10:50:00
SER8163687RHUOUZUVIC,US7248617JWXAMGGER,Grecia Martinez Lucas,Asesor de Ventas,Sales,3,in situ,repair,5264,MXN,"L,Ma,Mi",12:00,19:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en la compra de inmuebles y cualquier bien,4.jpg,Active,2014-03-01 10:50:00,2014-03-01 10:50:00
SER9991078FQSFBBBVIC,US5330647IOBOASYER,Carlos Lucas Islas,Asesor de Ventas,Sales,3,in situ,day,9562,MXN,"L,Ma,Mi,J",14:00,21:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora en la compra de inmuebles y cualquier bien,7.jpg,Active,2014-03-02 10:50:00,2014-03-02 10:50:00
SER2719022NDHCHISVIC,US1769481DUUWUVWER,Walter Oca Montreal,Asesor en Nutricion,Healthy,2,in situ,workingDay,5833,USD,L,12:00,19:00,142,NULL,NULL,NULL,NULL,NULL,Cuida tu salud con nosotros,6.jpg,Active,2014-03-03 10:50:00,2014-03-03 10:50:00
SER4986397SRCCZJFVIC,US9532630AJNLERLER,Uriel Huerta Beltran,Asesor en Nutricion,Healthy,3,all,repair,8351,MXN,Ma,13:00,20:00,142,NULL,NULL,NULL,NULL,NULL,Cuida tu salud con nosotros,15.jpg,Active,2014-03-04 10:50:00,2014-03-04 10:50:00
SER7099911JWNCQLQVIC,US9712746RBTRAWLER,Norma Briones Benitez,Asesor en Nutricion,Healthy,3,from distance,fifteen days,5428,USD,Mi,12:00,19:00,142,NULL,NULL,NULL,NULL,NULL,Cuida tu salud con nosotros,1.jpg,Active,2014-03-05 10:50:00,2014-03-05 10:50:00
SER9379457XRNPHAQVIC,US1797281APAWSZQER,Ana Salas Salas,Asesor en Nutricion,Healthy,3,face to face,contract,4636,EUR,J,10:00,17:00,142,NULL,NULL,NULL,NULL,NULL,Cuida tu salud con nosotros,12.jpg,Active,2014-03-06 10:50:00,2014-03-06 10:50:00
SER2370313RFPDBGZVIC,US4435916MUEXYFPER,Perla Lozada Britos,Asesor Humanista,Human Resources,4,office,day,4199,USD,S,14:00,21:00,10,NULL,NULL,NULL,NULL,NULL,Buscamos el mejor desarrollo personal de nuestros clientes,12.jpg,Active,2014-03-07 10:50:00,2014-03-07 10:50:00
SER3232874MMXCXBNVIC,US6663191KVJTPBXER,Carlos Islas Benitez,Asesor Humanista,Human Resources,3,in situ,contract,6737,USD,D,09:00,16:00,142,NULL,NULL,NULL,NULL,NULL,Buscamos el mejor desarrollo personal de nuestros clientes,10.jpg,Active,2014-03-08 10:50:00,2014-03-08 10:50:00
SER3596177OIFGQBAVIC,US8478175QDYPIRFER,Carlos Larios Molina,Asesor Humanista,Human Resources,3,from distance,fifteen days,9364,EUR,"L,Mi",15:00,22:00,142,NULL,NULL,NULL,NULL,NULL,Buscamos el mejor desarrollo personal de nuestros clientes,11.jpg,Active,2014-03-09 10:50:00,2014-03-09 10:50:00
SER4003884QWQEBDYVIC,US4072522VWTWCUNER,Helena Baron Larios,Asesor Humanista,Human Resources,5,from distance,contract,9837,MXN,"L,Ma",07:00,14:00,142,NULL,NULL,NULL,NULL,NULL,Buscamos el mejor desarrollo personal de nuestros clientes,2.jpg,Active,2014-03-10 10:50:00,2014-03-10 10:50:00
SER6964652PCCXJSUVIC,US8854441TJBYIVQER,Wanda Molina Jerez,Asesor Humanista,Human Resources,1,face to face,workingDay,8188,USD,"L,J",15:00,22:00,142,NULL,NULL,NULL,NULL,NULL,Buscamos el mejor desarrollo personal de nuestros clientes,4.jpg,Active,2014-03-11 10:50:00,2014-03-11 10:50:00
SER7320949LYLTRUHVIC,US3134481JRBDPNYER,Alejandro Baron Montes,Asesor Humanista,Human Resources,2,face to face,fifteen days,9652,EUR,"L,V",10:00,17:00,10,NULL,NULL,NULL,NULL,NULL,Buscamos el mejor desarrollo personal de nuestros clientes,7.jpg,Active,2014-03-12 10:50:00,2014-03-12 10:50:00
SER8598506IVZZBLJVIC,US2593509ETXCJIVER,Virginia Benitez Tijeras,Asesor Humanista,Human Resources,4,other,week,2643,MXN,"L,S",13:00,20:00,10,NULL,NULL,NULL,NULL,NULL,Buscamos el mejor desarrollo personal de nuestros clientes,2.jpg,Active,2014-03-13 10:50:00,2014-03-13 10:50:00
SER8732364URLGWEEVIC,US4430867YYMVEPRER,Felipe Larios Rafael,Asesor Humanista,Human Resources,5,from distance,workingDay,6485,MXN,"L,D",12:00,19:00,142,NULL,NULL,NULL,NULL,NULL,Buscamos el mejor desarrollo personal de nuestros clientes,15.jpg,Active,2014-03-14 10:50:00,2014-03-14 10:50:00
SER9316373AVOXKRIVIC,US9629230TLBANNOER,Fany Beltran Castillo,Asesor Humanista,Human Resources,2,office,project,7698,MXN,"Ma,Mi",14:00,21:00,142,NULL,NULL,NULL,NULL,NULL,Buscamos el mejor desarrollo personal de nuestros clientes,1.jpg,Active,2014-03-15 10:50:00,2014-03-15 10:50:00
SER4155082ZLXCDNRVIC,US1669461DAOOLAYER,Fany Larios Lozada,Asesor para tesina,Architecture,5,in situ,fifteen days,9581,EUR,"L,Ma,Mi",09:00,16:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora a estudiantes por graduarse de arquitectura,12.jpg,Active,2014-03-16 10:50:00,2014-03-16 10:50:00
SER8397409DUMPGDYVIC,US2293935NALCVMQER,Wilfred Beltran Rafael,Asesor para tesina,Architecture,3,office,contract,8878,USD,"L,Ma,Mi,J",09:00,16:00,10,NULL,NULL,NULL,NULL,NULL,Se asesora a estudiantes por graduarse de arquitectura,6.jpg,Active,2014-03-17 10:50:00,2014-03-17 10:50:00
SER4120570MZIIASRVIC,US5505333CXEETGAER,Raul Duarte Lozada,Ayudante de Constructor,Building,1,face to face,equipment,558,EUR,L,16:00,23:00,142,NULL,NULL,NULL,NULL,NULL,Se apoya a cualquier maestro albanil,3.jpg,Active,2014-03-18 10:50:00,2014-03-18 10:50:00
SER5930673DWEXHFFVIC,US2213418NIIGIJSER,Alejandro Beltran Montreal,Ayudante de Constructor,Building,1,other,equipment,4115,MXN,Ma,14:00,21:00,10,NULL,NULL,NULL,NULL,NULL,Se apoya a cualquier maestro albanil,8.jpg,Active,2014-03-19 10:50:00,2014-03-19 10:50:00
SER6164875KWVATWFVIC,US7444448NAWDPGAER,Perla Beltran Avila,Campanias LEA,Marketing,1,from distance,hour,7031,MXN,Mi,08:00,15:00,10,NULL,NULL,NULL,NULL,NULL,Crea la mejor campania y llega a mas clientes,6.jpg,Active,2014-03-20 10:50:00,2014-03-20 10:50:00
SER7054352YLEQUENVIC,US1920232FGMELPUER,Lisa Ceballos Benitez,Campanias LEA,Marketing,2,face to face,contract,2920,USD,J,16:00,23:00,142,NULL,NULL,NULL,NULL,NULL,Crea la mejor campania y llega a mas clientes,7.jpg,Active,2014-03-21 10:50:00,2014-03-21 10:50:00
SER7995297EPKLCPDVIC,US3900605RREJLSAER,Emily Ospina Salas,Campanias LEA,Marketing,2,office,hour,8298,EUR,S,16:00,23:00,142,NULL,NULL,NULL,NULL,NULL,Crea la mejor campania y llega a mas clientes,12.jpg,Active,2014-03-22 10:50:00,2014-03-22 10:50:00
SER9852587KHRSFHPVIC,US8909869NMBYRCVER,Julia Ramirez Bolanos,Campanias LEA,Marketing,1,all,equipment,1349,USD,D,13:00,20:00,10,NULL,NULL,NULL,NULL,NULL,Crea la mejor campania y llega a mas clientes,12.jpg,Active,2014-03-23 10:50:00,2014-03-23 10:50:00
SER6817945ZCVRELNVIC,US7202378ZSMWXYCER,Hector Bolanos Juarez,Chef,Gastronomy,5,office,day,2591,EUR,"L,Mi",16:00,23:00,10,NULL,NULL,NULL,NULL,NULL,Preparacion de alimentos tipo gourmet,19.jpg,Active,2014-03-24 10:50:00,2014-03-24 10:50:00
SER7822689UAYAAHNVIC,US2013764HEYQGEBER,Emily Rafael Sanchez,Chef,Gastronomy,5,all,workingDay,1371,USD,"L,Ma",07:00,14:00,142,NULL,NULL,NULL,NULL,NULL,Preparacion de alimentos tipo gourmet,15.jpg,Active,2014-03-25 10:50:00,2014-03-25 10:50:00
SER9353781VYQCTFOVIC,US1151314JMBPZQIER,Norma Perez Jimenez,Chef,Gastronomy,1,other,week,3414,EUR,"L,J",07:00,14:00,142,NULL,NULL,NULL,NULL,NULL,Preparacion de alimentos tipo gourmet,3.jpg,Active,2014-03-26 10:50:00,2014-03-26 10:50:00
SER7969242CYVSORIVIC,US9492030HPFGAXCER,Hanna Montalvo Ledezma,Chef de Postres,Gastronomy,4,other,week,4477,USD,"L,V",09:00,16:00,10,NULL,NULL,NULL,NULL,NULL,Se preparan los mejores postres para cualquier tipo de evento,12.jpg,Active,2014-03-27 10:50:00,2014-03-27 10:50:00
SER1105466CCHIBKQVIC,US8046852LFQXRGTER,Wilfred Ledezma Tijeras,Clases de Salsa,Healthy,2,in situ,equipment,1229,USD,"L,S",07:00,14:00,10,NULL,NULL,NULL,NULL,NULL,Las mejores clases de salsa desde principiante hasta experto.,8.jpg,Active,2014-03-28 10:50:00,2014-03-28 10:50:00
